host_name,Datetime,CPU Utilization,Disk Read Operations,Disk Write Operations,Network Packets Recieved,Network Packets Sent,Raw Disk Read Utilization,Raw Disk Write Utilization,Raw Net Recieved Utilization,Raw Net Sent Utilization
7095824396664797056,2017-07-23 09:00:00,1.01404809594,0.0,8.0,90.4,0.2,0.0,62259.4,9149.8,9.6
7095824396664797056,2017-07-23 09:05:00,1.01398862712,0.0,10.2,91.6,3.6,0.0,75224.0,9362.0,634.2
7095824396664797056,2017-07-23 09:10:00,1.01185560539,0.0,7.8,90.0,2.6,0.0,59944.0,9270.2,517.4
7095824396664797056,2017-07-23 09:15:00,1.04086895413,0.0,8.8,88.2,0.0,0.0,67851.4,9053.6,0.0
7095824396664797056,2017-07-23 09:20:00,1.01299569567,0.0,10.0,88.4,0.8,0.0,78643.0,8966.0,51.0
7095824396664797056,2017-07-23 09:25:00,1.01282674209,0.0,9.6,91.6,3.2,0.0,70451.2,9431.8,1138.8
7095824396664797056,2017-07-23 09:30:00,1.01462462008,0.0,8.0,89.0,0.6,0.0,62259.4,8984.6,0.0
7095824396664797056,2017-07-23 09:35:00,1.01310175792,0.0,8.6,87.2,0.2,0.0,63220.4,8886.0,8.8
7095824396664797056,2017-07-23 09:40:00,1.01415993267,0.0,8.0,88.0,0.0,0.0,62259.4,8992.8,0.0
7095824396664797056,2017-07-23 09:45:00,1.04048232506,0.0,8.4,89.0,0.6,0.0,62740.0,9255.6,81.2
7095824396664797056,2017-07-23 09:50:00,1.01332423322,0.0,8.6,89.2,2.4,0.0,66693.6,8996.8,448.2
7095824396664797056,2017-07-23 09:55:00,1.01348907971,0.0,8.0,89.8,0.0,0.0,62259.2,9153.8,0.0
7095824396664797056,2017-07-23 10:00:00,1.0141341745,0.0,8.2,88.8,0.0,0.0,62958.4,9030.6,0.0
7095824396664797056,2017-07-23 10:05:00,1.02303466113,0.0,9.4,93.0,3.8,0.0,69631.8,9684.6,988.4
7095824396664797056,2017-07-23 10:10:00,1.03046664904,0.0,8.2,89.2,0.6,0.0,69249.4,8984.4,0.0
7095824396664797056,2017-07-23 10:15:00,1.01276624046,0.0,8.0,86.6,0.0,0.0,62259.2,8845.8,0.0
7095824396664797056,2017-07-23 10:20:00,1.01414636876,0.0,9.2,88.4,0.0,0.0,74667.4,9054.4,0.0
7095824396664797056,2017-07-23 10:25:00,1.0132064342,0.0,8.0,88.6,0.0,0.0,62259.2,9025.4,0.0
7095824396664797056,2017-07-23 10:30:00,1.01324206653,0.0,9.8,91.6,2.2,0.0,69097.4,9578.5,554.8
7095824396664797056,2017-07-23 10:35:00,1.04011983942,0.0,8.4,92.6,4.0,0.0,66453.2,9163.6,590.4
